[MATCH1]: 3 at 83  with score: 0.08137605687307861
[MATCH1]: 2 at 83  with score: 0.04815573140074951
[MATCH1]: 1 at 84  with score: 0.043769622937844095
[MATCH1]: 3 at 84  with score: 0.15736760575204056
[MATCH2]: 2 at 84  with match score: 0.1072445105413122
[MATCH1]: 1 at 85  with score: 0.01683551236427476
[MATCH1]: 3 at 85  with score: 0.10225373065461912
[MATCH2]: 2 at 85  with match score: 0.16256762473138126
[MATCH1]: 1 at 86  with score: 0.009123800712030295
[MATCH1]: 3 at 86  with score: 0.16573512377408559
[MATCH1]: 1 at 87  with score: 0.039602632507205
[MATCH1]: 3 at 87  with score: 0.13544418314825873
[MATCH1]: 1 at 88  with score: 0.01606293288626607
[MATCH1]: 3 at 88  with score: 0.15503811853719845
[MATCH1]: 1 at 89  with score: 0.030390240857795316
[MATCH1]: 3 at 89  with score: 0.2250300101667044
[MATCH1]: 1 at 90  with score: 0.015903684128180683
[MATCH1]: 3 at 90  with score: 0.15900307861363938
[MATCH1]: 1 at 91  with score: 0.014217585736331763
[MATCH1]: 3 at 91  with score: 0.12385074262141438
[MATCH1]: 1 at 92  with score: 0.015629176092728025
[MATCH1]: 3 at 92  with score: 0.14583218660242686
[MATCH1]: 1 at 93  with score: 0.012844529498166913
[MATCH1]: 3 at 93  with score: 0.2426026765647961
[MATCH1]: 1 at 94  with score: 0.007874563528734068
[MATCH1]: 3 at 94  with score: 0.11255786937058565
[MATCH1]: 1 at 95  with score: 0.010702363644109708
[MATCH1]: 3 at 95  with score: 0.13831013344955556
[MATCH1]: 1 at 96  with score: 0.008928425612566798
[MATCH1]: 3 at 96  with score: 0.12469885506469305
[MATCH1]: 1 at 97  with score: 0.013714428733003742
[MATCH1]: 3 at 97  with score: 0.07118904420757699
[MATCH1]: 1 at 98  with score: 0.02477452767515778
[MATCH1]: 3 at 98  with score: 0.0925403230298115
[MATCH1]: 1 at 99  with score: 0.011506914373421056
[MATCH1]: 3 at 99  with score: 0.2472083623033423
[MATCH1]: 1 at 100  with score: 0.016520293689157403
[MATCH1]: 3 at 100  with score: 0.1297869113126527
[MATCH1]: 1 at 101  with score: 0.008762544800506917
[MATCH1]: 3 at 101  with score: 0.11215669360397934
[MATCH1]: 1 at 102  with score: 0.009971332587668514
[MATCH1]: 3 at 102  with score: 0.1655002572252516
[MATCH1]: 1 at 103  with score: 0.002156522057773125
[MATCH1]: 3 at 103  with score: 0.13892333830969356
[MATCH1]: 1 at 104  with score: 0.016290789219395252
[MATCH1]: 3 at 104  with score: 0.14399772903344976
[MATCH1]: 1 at 105  with score: 0.005689916847368659
[MATCH1]: 3 at 105  with score: 0.10379788255517715
[MATCH1]: 1 at 106  with score: 0.006439452284661695
[MATCH1]: 3 at 106  with score: 0.08660685320131481
[MATCH1]: 1 at 107  with score: 0.006661229369721594
[MATCH1]: 3 at 107  with score: 0.0691340094612769
[MATCH1]: 1 at 108  with score: 0.00896692434180909
[MATCH1]: 3 at 108  with score: 0.10959717506414692
[MATCH1]: 1 at 109  with score: 0.0203835105175212
[MATCH1]: 3 at 109  with score: 0.09295567081259873
[MATCH1]: 1 at 110  with score: 0.046566783445656366
[MATCH1]: 3 at 110  with score: 0.14483592757739877
[MATCH1]: 1 at 111  with score: 0.03459486196035594
[MATCH1]: 3 at 111  with score: 0.12918702251140335
[MATCH1]: 1 at 112  with score: 0.04567369202355782
[MATCH1]: 3 at 112  with score: 0.19087002940697706
[MATCH1]: 1 at 113  with score: 0.06581111553167608
[MATCH1]: 3 at 113  with score: 0.20474479538306553
[MATCH1]: 1 at 114  with score: 0.06258037553866237
[MATCH1]: 3 at 114  with score: 0.13932406004184456
[MATCH1]: 1 at 115  with score: 0.1312711826783194
[MATCH1]: 3 at 115  with score: 0.18492451059726217
[MATCH1]: 1 at 116  with score: 0.04870261355770673
[MATCH1]: 3 at 116  with score: 0.14745287873957247
[MATCH1]: 1 at 117  with score: 0.0887473251065469
[MATCH1]: 3 at 117  with score: 0.20251471206254776
[MATCH1]: 1 at 118  with score: 0.022317704382567673
[MATCH1]: 3 at 118  with score: 0.17879240419067505
[MATCH1]: 1 at 119  with score: 0.034821986117594884
[MATCH1]: 3 at 119  with score: 0.1765894138162932
[MATCH1]: 1 at 120  with score: 0.026642239562772767
[MATCH1]: 3 at 120  with score: 0.18377843089948892
[MATCH1]: 1 at 121  with score: 0.03198380587732386
[MATCH1]: 3 at 121  with score: 0.1738790132047074
[MATCH1]: 1 at 122  with score: 0.02457835301202991
[MATCH1]: 3 at 122  with score: 0.17704106650853654
[MATCH1]: 1 at 123  with score: 0.0512956999784679
[MATCH1]: 3 at 123  with score: 0.3139723750932074
[MATCH1]: 2 at 123  with score: 0.04342102691695414
[MATCH1]: 1 at 124  with score: 0.049078246366915594
[MATCH1]: 3 at 124  with score: 0.2607366470944211
